,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Amahumbezi,11040204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Inganzo,11040205,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Kigarama,11040206,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Mpazi,11040207,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Mugina,11040208,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Ubumwe,11040209,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Ubusabane,11040210,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Umubano,11040211,11,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Umurinzi,11040212,12,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Uruyange,11040213,13,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Akabeza,11040301,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Amahoro,11040302,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Birama,11040303,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Buhoro,11040304,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Bwiza,11040305,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Byimana,11040306,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Gakaraza,11040307,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Gaseke,11040308,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Ihuriro,11040309,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Inkurunziza,11040310,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Karambi,11040311,11,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Kigina,11040312,12,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Kimisagara,11040313,13,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Kove,11040314,14,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Muganza,11040315,15,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Nyabugogo,11040316,16,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Nyagakoki,11040317,17,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Nyakabingo,11040318,18,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Nyamabuye,11040319,19,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Sangwa,11040320,20,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kimisagara,Sano,11040321,21,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kankuba,Kamatamu,11050101,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kankuba,Kankuba,11050102,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kankuba,Karukina,11050103,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kankuba,Musave,11050104,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kankuba,Nyarumanga,11050105,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kankuba,Rugendabari,11050106,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Ayabatanga,11050201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Kankurimba,11050202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Kavumu,11050203,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Mubura,11050204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Murondo,11050205,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Nyakabingo,11050206,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Kavumu,Nyarubuye,11050207,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Burema,11050301,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Gahombo,11050302,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Kabeza,11050303,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageragere,Mwendo,Karambi,11050304,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Kwisanga,11050305,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Mageragere,11050306,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Mataba,11050307,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Mataba,Rushubi,11050308,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Ntungamo,Akanakamage,11050401,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Ntungamo,Gatovu,11050402,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Ntungamo,Nyabitare,11050403,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Ntungamo,Nyarubande,11050404,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Ntungamo,Rubungo,11050405,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Ntungamo,Rwindonyi,11050406,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarufunzo,Akabungo,11050501,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarufunzo,Akamashinge,11050502,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarufunzo,Maya,11050503,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarufunzo,Nyarufunzo,11050504,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarufunzo,Nyarurama,11050505,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarufunzo,Rubete,11050506,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarurenzi,Amahoro,11050601,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarurenzi,Ayabaramba,11050602,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarurenzi,Gikuyu,11050603,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarurenzi,Iterambere,11050604,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarurenzi,Nyabirondo,11050605,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Nyarurenzi,Nyarurenzi,11050606,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Runzenze,Gisunzu,11050701,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Runzenze,Mpanga,11050702,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Runzenze,Nkomero,11050703,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Runzenze,Runzenze,11050704,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Mageregere,Runzenze,Uwurugenge,11050705,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Amahoro,Amahoro,11060101,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Amahoro,Amizero,11060102,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Amahoro,Inyarurembo,11060103,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Muhima,Amahoro,Kabirizi,11060104,4,GE,,,,,,,,,,,
